id,name,party,partyLabel,votes,election,electionLabel,ranking
Q76364111,Cherilyn Mackrory,Q9626,Conservative Party (UK),27237,Q30173038,General election 2019,1
,Jennifer Forbes,Q9630,Labour Party (UK),22676,Q30173038,General election 2019,2
,Ruth Gripper,Q9624,Liberal Democrats (UK),7150,Q30173038,General election 2019,3
,Tom Scott,Q9669,Green Party of England and Wales,1714,Q30173038,General election 2019,4
,Paul Nicholson,Q3360801,"Liberal Party (UK, 1989)",413,Q30173038,General election 2019,5
Q577362,Sarah Newton,Q9626,Conservative Party (UK),25123,Q25052149,General election 2017,1
,Jayne Kirkham,Q9630,Labour Party (UK),21331,Q25052149,General election 2017,2
,Rob Nolan,Q9624,Liberal Democrats (UK),8465,Q25052149,General election 2017,3
,Duncan Odgers,Q10647,UK Independence Party,897,Q25052149,General election 2017,4
,Amanda Pennington,Q9669,Green Party of England and Wales,831,Q25052149,General election 2017,5
Q577362,Sarah Newton,Q9626,Conservative Party (UK),22681,Q3586935,General election 2015,1
,Simon Rix,Q9624,Liberal Democrats (UK),8681,Q3586935,General election 2015,2
,Stuart Roden,Q9630,Labour Party (UK),7814,Q3586935,General election 2015,3
,John Hyslop,Q10647,UK Independence Party,5967,Q3586935,General election 2015,4
,Karen Westbrook,Q9669,Green Party of England and Wales,4483,Q3586935,General election 2015,5
,Loic Rich,Q327591,Independent (politician),792,Q3586935,General election 2015,6
,Stephen Richardson,Q161957,Mebyon Kernow,563,Q3586935,General election 2015,7
,Rik Evans,Q6972995,National Health Action Party,526,Q3586935,General election 2015,8
,Stanley Guffogg,,Principles of Politics,37,Q3586935,General election 2015,9
Q577362,Sarah Newton,Q9626,Conservative Party (UK),20349,Q215622,General election 2010,1
,Terrye Teverson,Q9624,Liberal Democrats (UK),19914,Q215622,General election 2010,2
,Charlotte MacKenzie,Q9630,Labour Party (UK),4697,Q215622,General election 2010,3
,Harry Blakeley,Q10647,UK Independence Party,1911,Q215622,General election 2010,4
,Loic Rich,Q161957,Mebyon Kernow,1039,Q215622,General election 2010,5
,Ian Wright,Q9669,Green Party of England and Wales,858,Q215622,General election 2010,6
